answers,question
The second batch passed out in 2020.,How many batches of civil passed in iit mandi approx?
Please go to this link : https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.iitmandi.ac.in%2Fpressreleases%2Fpressrel%2FPress%2520Release%2520-%2520IIT%2520Mandi%2520set%2520for%2520another%2520year%2520of%2520Strong%2520Placements%2520in%25202018-19.pdf%3Ffbclid%3DIwAR3RPoBh_2DbP0hLYQry5WXIKI3ID40Wn71V1V0M-0-UWeb-LJjwxvJXVBY&h=AT0pXkNlXcmnveoLGzPR9LzNQ6iFXHBfJFdne6zNNVVIRF5d52wRiFDENwXT005BO0mhoHLYsjvAw4b-3kq6GgCTOqcxY_FFHDZCSLT1RJUV9PohuRE-fU7RVC-v&__tn__=-UK-R&c[0]=AT0_8P5kirbgZaPoPCRyIJQE4XYgPc7-PrrL3SCADzoKIlt6t4o-xW6RHEZHQ3jRoj7AEeIZKFIaTe8WTqotbAHVOdTADvVgmF32ZrI1YGkuzpyWHZzSDHYIMN28hiMf8B3BnvaGJ4Tw_Rduxk0ytT73JfcbPV3BUXbF_KvNjJ-zbtSQidV3R5yoJNB1IzI8cjmZ-2nibd9r92su,What are the placement statistics in 2018-2019?
More or less they're expected to be close as EP is gaining popularity but it's new in IIT Mandi. It may hover around 7000.,Expected cutoff of ep will higher or lower than civil?
"It may be nearly same or a just after CSE, I suppose around 3200-3500.",what will be estimated cutoff for newly opened data science at iit mandi? any guesses?
You can find the Branch Change rules on the JOSAA Website or the IIT Mandi Website. The difficulty depends on you. How well you can manage the courses. They are easy. You just need to be attentive in class and do the assignments yourself.,What are branch changing rules at IIT Mandi? How difficult is it?
"Yes, they do. Here at IIT Mandi, we have interdisciplinary learning and we have schools instead of Departments. There are no Dept. Of CS Engg. and Dept. Of Electrical Engg.! Instead, we have SCEE (School of Computing and Electrical Engineering). One advantage is that If you come with EE and realise that you want to go to IT sector, you can easily take up courses of CSE, sometimes more than CSE guys do.",Does electrical and cse department in Mandi coincide?
"Coding Culture is not determined by one's branch, but by one's interest. Your branch could be CSE but you may dislike coding. Picking up coding habits is totally up to you.",Is IIT mandi elec. branch is good w.r.t coding culture?
"The college life is really awesome, One could go for hiking and trekking, or join sports with the possiblity of NSS. Moreover there are a number of groups that you can join. These groups will actually bloom how your profile and develop skills. As for the academics point of view being in IIT will definitely insure you quality education. As for the rest of lifestyle there are canteens and open up till late nights. your batch will come into the north campus with the entire BTech there. A newly build swimming pool too awaits you.",How is college life in iit mandi please tell?
"The college life is really awesome, One could go for hiking and trekking, or join sports with the possiblity of NSS. Moreover there are a number of groups that you can join. These groups will actually bloom how your profile and develop skills. As for the academics point of view being in IIT will definitely insure you quality education. As for the rest of lifestyle there are canteens and open up till late nights. your batch will come into the north campus with the entire BTech there. A newly build swimming pool too awaits you.",What is the scenario of placements of CSE at iit mandi is it better than other new gen. iits?
Pnb + sbi in the South campus.,Which banks are closest or are located in the campus?
Just dont forget any of the documents. You can carry with you the clothes for winter. Other stuff required in the hostel will be available on the reporting day.,What different things do we have to bring at the time of reporting?
"Data Science at IIT Mandi to a great extent will be comparable to CSE only. Many of the courses will be similar or even same! (Some dedicated core Data Science courses are introduced in the curriculum though and those are the only ones which differentiate the branches.) I don't believe you're completely aware about either of the branches currently. I'd definitely suggest to join the Data Science course, irrespective of it starting this year only. And hence, advise you to come here, explore the courses related to both the branches (while being in DSE) and then decide about changing your branch from DSE (you may just want to stay in DSE as it won't make much difference IMO) At last, the 'risk' you're thinking you may have to take will be very little compared to other branches. Because even if you stay in DSE, I'd say, it'll be as good as CSE at IIT Mandi. Hope this helps!","What do seniors think about the Data Science course at IIT Mandi ? I have an inclination towards CSE but won't be getting it here , though I may get Data Science. Do you recommend joining it considering the fact that it is starting only from this year. Moreover , what is your opinion about joining it considering branch change to CSE. Do you recommend taking this risk?"
"Jio, Airtel, BSNL work fine.",Which mobile carrier would be best to use in IIT Mandi ?
"In the technical society we have programming club, robotronics club, astronomy club, Entrepreneurship cell, nirmaan club(mechanical/civil related stuff),supra club for making racing cars and a lot more.. technical society is open to all, you need to attend the sessions of the club and your involvement in the club will decide your position in that club in further years. For cultural society we have dance club,drama club, designing club, photography club, movie making/videography club, music club,art geeks and more. Here to get selected into a particular club you need to give audition for the club. Even here you will have to attend sessions/workshops organised by the club...and your involvement with the club affairs will decide your position in the club. We also have literary society by which debating, quizzing and other events are often organised. Explore every club see where your interest lies and choose wisely!",What are the different clubs and their entrance criterias? (complete details will be appreciated).
Common.,Are the bath rooms attached or common in boys hostel?
https://www.iitmandi.ac.in/Schools/SCEE/courses.php?fbclid=IwAR3jxxdDLIPY1H_c64KbCNqhk0YYWJawWH_3PXvt-dD0zDlzSFEFm_3UQ-U.,Where can I find the curriculum for CSE in IIT Mandi?
http://iitmandi.ac.in/Visitor_info/index.html?fbclid=IwAR0VH1vEXJfYsVhUTuIlbjoQvkczKVsV-1YMplpN3eTr6v2oEOyXRR30ESg.,How to book the guest house?
Hostel room allotment for first year is random.,What is the procedure for allotment of hostel rooms?
"There are institute buses which you can take free of cost, or you can take a cab from mandi bus stand.",How to reach IIT mandi from mandi bus stand ?
"Yes, IIT Mandi is safe from avalanche, flood, landslides and other natural calamities. I agree that mountains roads are not safe for journey in rainy season and Snow fall duration. But if you are coming to mandi from chandigarh then you can easily come to campus. But if you are coming to mandi from manali side then in rainy season you may face land slides and other things but himachal government is very active regarding to help people in the case of land slides and heavy snow fall. So if you are thinking about be a part of IIT Mandi then feel free to try to be a part of IIT Mandi. ",Is IIT Mandi safe from avalanche and other natural calamities? Are the mountain roads easy to travel or is there any danger? 
Avalanches occur at places where it snow heavily and a wide layer of snow is present on the mountains. Here there is no such snow so no chances of avalanche. In rainy season sometimes landslides occur on the road joining South and North campus as well as Road towards Mandi. But IIT MANDI has installed landslide sensors which alert the nearby people. So there is no such risk. The only problem in mountain roads is it takes much more time to travel as compared to plains. For eg: Distance b/w IIT KAMAND campus and MANDI town is 15 kms and it takes around 45 minutes for us to travel. ,Is IIT Mandi safe from avalanche and other natural calamities? Are the mountain roads easy to travel or is there any danger? 
"IIT Mandi is safe and peaceful place. No avalanches and well connected with roads. No issues. But, in rainy season there can be landslides anywhere in the mountains of Himachal Pradesh. So, uncertainty of landslide is still everywhere in every mountain of Himachal. Though there is extensive research going on for forecasting landslides points at mountains. Overall there is no such regular natural disaster kind of things. Safe and peacefulness of IIT Mandi can make us in love with nature. ",Is IIT Mandi safe from avalanche and other natural calamities? Are the mountain roads easy to travel or is there any danger? 
"Good Question! Okay, so when I had heard about the fact that my campus (then going to be) has a river flowing through it, I was so damn excited that I literally started to have dreams about it. I'm an amid nature lover, can wander for days, travelling is my wife and photography is my girlfriend. Sorry to have an extramarital affair! I was so mesmerised when I first saw it, viewing those clouds floating above like a carefree traveller and in those misty and fluffy clouds I could see my days ahead very clearly, ironically! Within a weak, I went on its shore, touched it's crystal clear blue water a Continue ReadingGood Question! Okay, so when I had heard about the fact that my campus (then going to be) has a river flowing through it, I was so damn excited that I literally started to have dreams about it. I'm an amid nature lover, can wander for days, travelling is my wife and photography is my girlfriend. Sorry to have an extramarital affair! I was so mesmerised when I first saw it, viewing those clouds floating above like a carefree traveller and in those misty and fluffy clouds I could see my days ahead very clearly, ironically! Within a weak, I went on its shore, touched it's crystal clear blue water and even wrote a poem sitting on a rock there for a couple of hours. As they say, once you've taken a step it's hard to reconcile. That first visit instilled in me the desire to embrace those moments again…and again…and again. Me and my friends once even bunked the classes to go and take a bath in it some 7–8 kms from our campus. That was an amazing day, we returned with wet clothes, loadful of laughter, a couple of nicknames and lots of memories to go down the pages of my “campus diary”. The river became a part of my life, just like the mountains had…just like the campus had… …until my birthday this year, the year 2017. When my friends were planning a surprise party for my birthday and I with my other batchmate was looking for my friend. “Looking” is not the word that screams the aura of that moment…”searching” might do the job. It was just a packet of few students who got serious about him missing, but it didn't take much ticks of the clock that entire campus got involved. It was a tensed moment. I am not going to narrate the incident, I'm not the right person for that. But it was around 1:30 am, 17th Feb 2017…i was getting wishing calls from my relatives and there I heard the gravest new. The river dried that night, the river dried for me. Since that day, I've not stepped on the shore of that river. Truth this, I couldn't dare to. It's been a couple of months since that night, and now when I've been knocked into my senses again I want to say this. The river is not dangerous. Look, it was an accident. No good will come out finding the flaws in it. But a couple of lessons would surely enlighten us. NEVER underestimate the power of nature. It's the most beautiful and the most dangerous creation. I'm not saying stop enjoying it, but enjoy within your sphere. Don't get carried away with your adrenaline rush, keep a check on it. Break the rules, not laws. Go visit the river, but never go when it's dark. And never go alone. You don't know what magic a hand on your shoulder can do when you need it. Don't experiment, like climbing on things which are not approachable. Of course, it could be new experience but ask yourself at what cost? The Uhl is one of the many blessings that IIT Mandi is blessed with. It sings you a soft lullaby every night. It adds the mesmerising hue of sunset to your tea every evening. It listens to you when no one else does. You can sit for hours looking at it from the campus and it won't stop surprising you. And not to forget those countless selfies! The river is beautiful, it's amazing and it's not dangerous. And even now if I'm unable to express that the river is not dangerous, then probably everything is dangerous. The bike you drive. The room you stay in. The food you eat. The friends you meet. You just have to keep everything withing limits, don't break the limits. The only limits to be broken are your own, not others'. ",Is the Uhl river near IIT Mandi dangerous? 
"“One can remain safe as long as one heeds to the advice of elders and take actions consciously”. Talking about Uhl river, the water level of the river is quite unpredictable. In mountains, rains can happen anytime and the water level rises. That’s why time and again, Institute keeps on informing students about the risks involved in going to the river side. Multiple warning signs have been installed and security guards have been appointed at every possible location of going near the river. That incident was a tragic accident that shouldn’t have occurred and was quite a shock for all of us at IIT  Continue Reading“One can remain safe as long as one heeds to the advice of elders and take actions consciously”. Talking about Uhl river, the water level of the river is quite unpredictable. In mountains, rains can happen anytime and the water level rises. That’s why time and again, Institute keeps on informing students about the risks involved in going to the river side. Multiple warning signs have been installed and security guards have been appointed at every possible location of going near the river. That incident was a tragic accident that shouldn’t have occurred and was quite a shock for all of us at IIT Mandi.[Address by IIT Mandi Director-Timothy Gonsalves (Timothy Gonsalves)]. We can only learn from the mistakes of the past and improve so that such incidents don’t occur again. It is therefore advised to not go near riverside. If one is very much of fond of going near the river, then you can have that fun by being a part of institute’s hiking & trekking club which keeps on organising activities like river crossing under the supervision of trained professionals. ",Is the Uhl river near IIT Mandi dangerous? 
"NH 1 connects Delhi to Chandigarh so you’ll hardly find any trouble till Chandigarh. If you are travelling by bus, you can find a direct bus( Volvo/ Ordinary) from Delhi till Mandi. Speaking of roads, there won’t be any trouble, roads are good. But yeah, it takes aroud 5–6 hours from Chandigarh to Mandi. From Mandi there is regular bus service from the transit campus to Kamand campus( no road issues). You can find the scedule here: http://iitmandi.ac.in/files/Institute%20Vehicle%20Schedule%2011%20June%202018.pdf (Look for Mandi to South column). ",How is the road in hilly areas connecting Delhi to IIT Mandi? 
Hmm someone finally cared,) Well as a student of IIT Mandi I can answer it pretty much well. I am from Haryana and the Roads are good. But if you are afraid of heights then be prepared as some roads near campus are very steep and curvy(and sometimes without railinB
"All the answers are pretty much self explanatory but I guess your emphasis are on the ‘safe’ part rather than the ‘reaching’ part. Let's start with a newspaper report conveying a staggering data. In Himachal, 1,000 die in road accidents every year - Times of India Tbh, I am not sure of the authenticity of this report. Considering the dysmal road conditions in Himachali villages, I would think this data might skew us in believing that this statistic holds true for major highways as well. During my time at IIT Mandi, I used to travel to and from Chandigarh every semester. I personally have never en Continue ReadingAll the answers are pretty much self explanatory but I guess your emphasis are on the ‘safe’ part rather than the ‘reaching’ part. Let's start with a newspaper report conveying a staggering data. In Himachal, 1,000 die in road accidents every year - Times of India Tbh, I am not sure of the authenticity of this report. Considering the dysmal road conditions in Himachali villages, I would think this data might skew us in believing that this statistic holds true for major highways as well. During my time at IIT Mandi, I used to travel to and from Chandigarh every semester. I personally have never encountered such a happening on Chandigarh - Manali highway. The Volvo drivers are extremely skilled & agile and road conditions are much better than in the inner reaches of HP. But the ride is not that comfortable considering the number of bends on the highway. Then again, who said reaching heaven was easy? :) Safe journey! ",How do I reach IIT Mandi from Chandigarh in the safest way possible? 
You can only take a bus/ cab from Mandi. The most comfortable are the Volvo buses that you can book from hrtc ticketing website. It's perfectly safe and very common. The drivers are experienced and well trained for these routes. Even the route is fairly straight and wide. ,How do I reach IIT Mandi from Chandigarh in the safest way possible? 
Full day and full night .. Plenty of buses from chandigarh to mandi Sector 43 After 2 pm frequency is less ..Try to opt night buses these buses will drop you at mandi in early morning Total travel time by ordinary bus is approx 6 hrs And by Volvo is 5 hrs   ,What are the bus timings from Chandigarh to Mandi? When are the first and last buses to Mandi from Chandigarh? 
"Haryana Roadways, HRTC and Punjab Roadways) are frequently available in every 5 minutes and 24*7. You can get a bus from Sector 43-bus stand. Bus service is widely distributed to Shimla so you don’t need to wry about time, just go to stand and you can get your bus. Volvo bus is also available for Shimla. Another way is that you can get a taxi or you can take zoomcar. Zoomcar is rental car service that charges according to the usage of car and petrol. You can book a car online and take that one but one thing I forget to mention that you have to drive the car on your own in zoomcar service. ",What are the bus timings from Chandigarh to Mandi? When are the first and last buses to Mandi from Chandigarh? 
"Congratulations to you for qualifying jee advance . Yeah it's a general query which arises in everyone's mind as on one hand you have Cs in a new iit and relatively lower branch in an old iit .Well the straight forward solution to your query is If you have genuine intrest towards computer science and coding and you enjoy solving problems logically with patience then without considering anything go for iit mandi cs.You would not have to worry about placement here and you can also pursue research here.If you do not have sufficient information about coding the I would advise you to get in touch wit Continue ReadingCongratulations to you for qualifying jee advance . Yeah it's a general query which arises in everyone's mind as on one hand you have Cs in a new iit and relatively lower branch in an old iit .Well the straight forward solution to your query is If you have genuine intrest towards computer science and coding and you enjoy solving problems logically with patience then without considering anything go for iit mandi cs.You would not have to worry about placement here and you can also pursue research here.If you do not have sufficient information about coding the I would advise you to get in touch with it and realise yourself whether you enjoy coding or not. Whereas iitkgp being one of the most reputed institutes of india it will be a nice choice if you opt chemical engineering here as this industry is in dire demands nowadays and will be in future ,and it's course structure is relatively easy as compared to other departments like mech or electrical.You will have sufficient time to hone your other skills and enjoy your college life.In this way you can prepare yourself fir non core jobs as most of the companies allow chemical students to appear in placement interviews and internships.If you want to pursue MBA outside India being a kgpian will give you an edge over other as it's ranking is much better than iit mandi.Moreover you have an option of branch change here at the end of 1 year ,you just need to get a good cgpa and you can choose department of your choice but that solely should not be the criteria to choose college or branch.So the argument here is between a branch and a college and I have presented my views and would suggest you if you want to stay safe then going for mandi cs would be better option and if you don't feel comfortable with coding stuff then kgp chemical will be better. ","Which is better, chemical at IIT Kharagpur or CS at IIT Mandi? "
Chemical at IIT Kharagpur ,"Which is better, chemical at IIT Kharagpur or CS at IIT Mandi? "
