,question,answers
0,Is IIT Mandi safe from avalanche and other natural calamities? Are the mountain roads easy to travel or is there any danger? ,"Yes, IIT Mandi is safe from avalanche, flood, landslides and other natural calamities. I agree that mountains roads are not safe for journey in rainy season and Snow fall duration. But if you are coming to mandi from chandigarh then you can easily come to campus. But if you are coming to mandi from manali side then in rainy season you may face land slides and other things but himachal government is very active regarding to help people in the case of land slides and heavy snow fall. So if you are thinking about be a part of IIT Mandi then feel free to try to be a part of IIT Mandi. "
1,Is IIT Mandi safe from avalanche and other natural calamities? Are the mountain roads easy to travel or is there any danger? ,Avalanches occur at places where it snow heavily and a wide layer of snow is present on the mountains. Here there is no such snow so no chances of avalanche. In rainy season sometimes landslides occur on the road joining South and North campus as well as Road towards Mandi. But IIT MANDI has installed landslide sensors which alert the nearby people. So there is no such risk. The only problem in mountain roads is it takes much more time to travel as compared to plains. For eg: Distance b/w IIT KAMAND campus and MANDI town is 15 kms and it takes around 45 minutes for us to travel. 
2,Is IIT Mandi safe from avalanche and other natural calamities? Are the mountain roads easy to travel or is there any danger? ,"IIT Mandi is safe and peaceful place. No avalanches and well connected with roads. No issues. But, in rainy season there can be landslides anywhere in the mountains of Himachal Pradesh. So, uncertainty of landslide is still everywhere in every mountain of Himachal. Though there is extensive research going on for forecasting landslides points at mountains. Overall there is no such regular natural disaster kind of things. Safe and peacefulness of IIT Mandi can make us in love with nature. "
3,Is the Uhl river near IIT Mandi dangerous? ,"Good Question! Okay, so when I had heard about the fact that my campus (then going to be) has a river flowing through it, I was so damn excited that I literally started to have dreams about it. I'm an amid nature lover, can wander for days, travelling is my wife and photography is my girlfriend. Sorry to have an extramarital affair! I was so mesmerised when I first saw it, viewing those clouds floating above like a carefree traveller and in those misty and fluffy clouds I could see my days ahead very clearly, ironically! Within a weak, I went on its shore, touched it's crystal clear blue water a Continue ReadingGood Question! Okay, so when I had heard about the fact that my campus (then going to be) has a river flowing through it, I was so damn excited that I literally started to have dreams about it. I'm an amid nature lover, can wander for days, travelling is my wife and photography is my girlfriend. Sorry to have an extramarital affair! I was so mesmerised when I first saw it, viewing those clouds floating above like a carefree traveller and in those misty and fluffy clouds I could see my days ahead very clearly, ironically! Within a weak, I went on its shore, touched it's crystal clear blue water and even wrote a poem sitting on a rock there for a couple of hours. As they say, once you've taken a step it's hard to reconcile. That first visit instilled in me the desire to embrace those moments again…and again…and again. Me and my friends once even bunked the classes to go and take a bath in it some 7–8 kms from our campus. That was an amazing day, we returned with wet clothes, loadful of laughter, a couple of nicknames and lots of memories to go down the pages of my “campus diary”. The river became a part of my life, just like the mountains had…just like the campus had… …until my birthday this year, the year 2017. When my friends were planning a surprise party for my birthday and I with my other batchmate was looking for my friend. “Looking” is not the word that screams the aura of that moment…”searching” might do the job. It was just a packet of few students who got serious about him missing, but it didn't take much ticks of the clock that entire campus got involved. It was a tensed moment. I am not going to narrate the incident, I'm not the right person for that. But it was around 1:30 am, 17th Feb 2017…i was getting wishing calls from my relatives and there I heard the gravest new. The river dried that night, the river dried for me. Since that day, I've not stepped on the shore of that river. Truth this, I couldn't dare to. It's been a couple of months since that night, and now when I've been knocked into my senses again I want to say this. The river is not dangerous. Look, it was an accident. No good will come out finding the flaws in it. But a couple of lessons would surely enlighten us. NEVER underestimate the power of nature. It's the most beautiful and the most dangerous creation. I'm not saying stop enjoying it, but enjoy within your sphere. Don't get carried away with your adrenaline rush, keep a check on it. Break the rules, not laws. Go visit the river, but never go when it's dark. And never go alone. You don't know what magic a hand on your shoulder can do when you need it. Don't experiment, like climbing on things which are not approachable. Of course, it could be new experience but ask yourself at what cost? The Uhl is one of the many blessings that IIT Mandi is blessed with. It sings you a soft lullaby every night. It adds the mesmerising hue of sunset to your tea every evening. It listens to you when no one else does. You can sit for hours looking at it from the campus and it won't stop surprising you. And not to forget those countless selfies! The river is beautiful, it's amazing and it's not dangerous. And even now if I'm unable to express that the river is not dangerous, then probably everything is dangerous. The bike you drive. The room you stay in. The food you eat. The friends you meet. You just have to keep everything withing limits, don't break the limits. The only limits to be broken are your own, not others'. "
4,Is the Uhl river near IIT Mandi dangerous? ,"“One can remain safe as long as one heeds to the advice of elders and take actions consciously”. Talking about Uhl river, the water level of the river is quite unpredictable. In mountains, rains can happen anytime and the water level rises. That’s why time and again, Institute keeps on informing students about the risks involved in going to the river side. Multiple warning signs have been installed and security guards have been appointed at every possible location of going near the river. That incident was a tragic accident that shouldn’t have occurred and was quite a shock for all of us at IIT  Continue Reading“One can remain safe as long as one heeds to the advice of elders and take actions consciously”. Talking about Uhl river, the water level of the river is quite unpredictable. In mountains, rains can happen anytime and the water level rises. That’s why time and again, Institute keeps on informing students about the risks involved in going to the river side. Multiple warning signs have been installed and security guards have been appointed at every possible location of going near the river. That incident was a tragic accident that shouldn’t have occurred and was quite a shock for all of us at IIT Mandi.[Address by IIT Mandi Director-Timothy Gonsalves (Timothy Gonsalves)]. We can only learn from the mistakes of the past and improve so that such incidents don’t occur again. It is therefore advised to not go near riverside. If one is very much of fond of going near the river, then you can have that fun by being a part of institute’s hiking & trekking club which keeps on organising activities like river crossing under the supervision of trained professionals. "
5,How is the road in hilly areas connecting Delhi to IIT Mandi? ,"NH 1 connects Delhi to Chandigarh so you’ll hardly find any trouble till Chandigarh. If you are travelling by bus, you can find a direct bus( Volvo/ Ordinary) from Delhi till Mandi. Speaking of roads, there won’t be any trouble, roads are good. But yeah, it takes aroud 5–6 hours from Chandigarh to Mandi. From Mandi there is regular bus service from the transit campus to Kamand campus( no road issues). You can find the scedule here: http://iitmandi.ac.in/files/Institute%20Vehicle%20Schedule%2011%20June%202018.pdf (Look for Mandi to South column). "
6,How is the road in hilly areas connecting Delhi to IIT Mandi? ,Hmm someone finally cared;) Well as a student of IIT Mandi I can answer it pretty much well. I am from Haryana and the Roads are good. But if you are afraid of heights then be prepared as some roads near campus are very steep and curvy(and sometimes without railinB;-) ) But once you come here you are safe and trust me campus is really beautiful and serine. See you in 2019. Come witness the Moksha PEACE 
7,How do I reach IIT Mandi from Chandigarh in the safest way possible? ,"All the answers are pretty much self explanatory but I guess your emphasis are on the ‘safe’ part rather than the ‘reaching’ part. Let's start with a newspaper report conveying a staggering data. In Himachal, 1,000 die in road accidents every year - Times of India Tbh, I am not sure of the authenticity of this report. Considering the dysmal road conditions in Himachali villages, I would think this data might skew us in believing that this statistic holds true for major highways as well. During my time at IIT Mandi, I used to travel to and from Chandigarh every semester. I personally have never en Continue ReadingAll the answers are pretty much self explanatory but I guess your emphasis are on the ‘safe’ part rather than the ‘reaching’ part. Let's start with a newspaper report conveying a staggering data. In Himachal, 1,000 die in road accidents every year - Times of India Tbh, I am not sure of the authenticity of this report. Considering the dysmal road conditions in Himachali villages, I would think this data might skew us in believing that this statistic holds true for major highways as well. During my time at IIT Mandi, I used to travel to and from Chandigarh every semester. I personally have never encountered such a happening on Chandigarh - Manali highway. The Volvo drivers are extremely skilled & agile and road conditions are much better than in the inner reaches of HP. But the ride is not that comfortable considering the number of bends on the highway. Then again, who said reaching heaven was easy? :) Safe journey! "
8,How do I reach IIT Mandi from Chandigarh in the safest way possible? ,You can only take a bus/ cab from Mandi. The most comfortable are the Volvo buses that you can book from hrtc ticketing website. It's perfectly safe and very common. The drivers are experienced and well trained for these routes. Even the route is fairly straight and wide. 
9,What are the bus timings from Chandigarh to Mandi? When are the first and last buses to Mandi from Chandigarh? ,Full day and full night .. Plenty of buses from chandigarh to mandi Sector 43 After 2 pm frequency is less ..Try to opt night buses these buses will drop you at mandi in early morning Total travel time by ordinary bus is approx 6 hrs And by Volvo is 5 hrs   
