index,question,answers
0,What is your review of Faculty Of IIT Mandi? ,"It’s not good. Even some NITs are way better than this college. I do not have much idea about other branches, but for mechanical students there nothing much to learn about. I am a graduate student here and i found out that most of the faculties here, are couples(one of them got the job here and then recommended their spouse for a faculty post). So, its completely mess in terms research. They are not doing anything new. What they mostly do is mug up some research papers and got a new paper published. One of the faculty here is an associate here just because he published a lot of papers just by  Continue ReadingIt’s not good. Even some NITs are way better than this college. I do not have much idea about other branches, but for mechanical students there nothing much to learn about. I am a graduate student here and i found out that most of the faculties here, are couples(one of them got the job here and then recommended their spouse for a faculty post). So, its completely mess in terms research. They are not doing anything new. What they mostly do is mug up some research papers and got a new paper published. One of the faculty here is an associate here just because he published a lot of papers just by doing the same. So, at last i would say. if you are planning for the higher studies(specially in mechanical field) here then please do not come. "
1,What is your review of Faculty Of IIT Mandi? ,"★★ A2A :)I am neither a full time student of IIT Mandi nor I have spent some time there as a visiting student. Though I have gone through their Faculty Profiles provided at official website, It looks same as other newly established IITs (excluding IITH & IITGn, they are way better than others). "
2,What is your review of Faculty Of IIT Mandi? ,Physics faculty is very good 
3,What is the current placement scenario at IIT Mandi? ,"I am unaware of the overall placement scenario, but there’s this guy called Shubham Ajmera who happens to be the son of my father’s colleague, who completed his B.Tech, Computer Science from IIT Mandi and bagged an all-time high package from Google, a whopping 1.7 Crore!  The point I wanna draw is, y Continue ReadingI am unaware of the overall placement scenario, but there’s this guy called Shubham Ajmera who happens to be the son of my father’s colleague, who completed his B.Tech, Computer Science from IIT Mandi and bagged an all-time high package from Google, a whopping 1.7 Crore!  The point I wanna draw is, your college’s newness doesn’t matter. Opportunity knocks on all doors, be good enough to grab it. :) "
4,What is the current placement scenario at IIT Mandi? ,"It has been almost 8 months living in IIT Mandi. There are both good and bad points. Let us start with good : There is no pollution.(I come from Delhi so its a major plus for me)The hostel food is okay and there are a few canteens to keep things changing.I reside in south campus, which is almost compContinue ReadingIt has been almost 8 months living in IIT Mandi. There are both good and bad points. Let us start with good : There is no pollution.(I come from Delhi so its a major plus for me)The hostel food is okay and there are a few canteens to keep things changing.I reside in south campus, which is almost completely constructed. Hence you wont feel lack of facilities.Wifi speed is okay.It is fully surrounded by mountains so the view is awesome.There are two rivers beside campus (there are ways to them). Whenever you feel out you can go to them.I am not much of a city person so on holidays i mostly go to trek around with friends.Teachers are good. Off course you will not like some of them but it is good. After all we are the only IIT to have more staff than the sanctioned strength.Now comes the bad: The institute is still new and not in a major city you will feel it tough to gather sponsors for any event.(the situation improves every year, we will be having 3 pro nites this Exodia !!).The main city Mandi is around 40 mins from institute thus if you want to hang out at dominos or have good tea/coffee at some cafe you will have to travel at least 80 mins (back and fro).You will feel lack of equipments and space for music club. We feel that Music club room should be bigger with better speakers.If you are a robotronics guy you will mostly not find parts in Mandi and it is a pain. Especially if you to complete something fast. You have to either go to Chandigarh or Delhi (maybe Shimla) to get things done.I have Apple devices and the nearest service centre. is in in Shimla, so if you buy or have replacement you need to go to Shimla.I have not experienced any other difficulty till now. Will update later.My life at IIT Mandi is just awesome. I get a lot of free time and is involved in some projects. Being in new college I get exposure to lot of new projects which are generally done 2nd -3rd yearites. Plus you get the opportunity to be core member of many clubs. Study is good and not at all stressful like JEE. (where 50 percent has to break their a** to get here). We have two quizzes and an end semester. The quiz of an hour and are over in a over a week. Also if you like to do multiple projects but don’t have enough motivation to start new projects , don't worry you have to a project every year to get grades. If you study smartly you can have a CG of 9 above (in 1 sem) easily. For above 9 just attend most classes. And even after all this stuff you can find time to pursue a hobby and play sports. Overall you will be always busy with some stuff or other (if you are not a Maggu/lame). Now for those who are reading this answer to find out placements and all. Look for CS they are just like any other college good. If you are good at coding and have nice outlook you can get a 20–25 easy. For mech guys (like me) have to work hard to get placement. The truth is this is the case all over India there are very few core companies so to get into them is tough. But mech is a branch which you pursue solely for your interest,some guys can get an awesome placement while others may be no. The for mech this year is 17 lac in HOCL (a PSU). Or you can apply of campus to companies like BM and Merc. it is all on you. For electrical I don’t have any reviews but they are more or less like mech guys besides the fact that they are sometimes(mostly) hired by IT giants. Again for internships you need to work hard, they are the same as placement. The only plus point is that we have a semester exchange program where you can to Germany and study a sem there. It is beneficial. EDIT1 : IIT Mandi has been literally very good in tech fests. It has been the number one new IIT in inter IIT tech meets. "
5,How is the hostel life and campus life at IIT Mandi? At what level is ragging at IIT Mandi? ,"The hostels at IIT Mandi are some of the best hostels you can find in the country. The hostels are equipped with: 24*7 high speed internet.Water purifiers and water coolers.A microwave oven for each hostel, and if the hostel is a big one, multiple microwave ovens.Every hostel but one has a common room where there is a television with almost all the channels.Irons.The four new hostels have a study room on each floor. The study room consists of a projector, a projector screen, a table with chairs and great lighting.The common room of hostels also has a TT table.Each hostel gets some funds, with wContinue ReadingThe hostels at IIT Mandi are some of the best hostels you can find in the country. The hostels are equipped with: 24*7 high speed internet.Water purifiers and water coolers.A microwave oven for each hostel, and if the hostel is a big one, multiple microwave ovens.Every hostel but one has a common room where there is a television with almost all the channels.Irons.The four new hostels have a study room on each floor. The study room consists of a projector, a projector screen, a table with chairs and great lighting.The common room of hostels also has a TT table.Each hostel gets some funds, with which you can get some switches and LAN cables for gaming and all. You can also get games like carrom board, etc. from the funds.All in all, the hostels are pretty cool. Life at the hostels is, again, awesome. Saif’s answer on the question nearly sums up many aspects of the hostel life. As far as campus life is concerned, different people may have different views on it. I personally like my campus and hostel life at IIT Mandi a lot. Coming to ragging, you may face light ragging here, but nothing at all like the 3 Idiots one, “Jahaanpana, tussi great ho, tohfaa kubool karo”  The environment at IIT Mandi is amazingly peaceful. I remember a fourth year senior telling me just some weeks back before leaving the college: “Yaar baaki saare city wale colleges to aise hi hote hain, kya padhe kya nahi padhe sab bhool jaenge. Lekin iss jagah ko nhi bhool paenge, ye jagah bahut hi faad hain, aur sabse alag hain!” "
6,How is the hostel life and campus life at IIT Mandi? At what level is ragging at IIT Mandi? ,"Okay Anon thanks for A2A and sorry I might not be the right person to give you a satisfactory answer to this question. I'll try my best though. Well now that I am thinking what should I write here, I realized that I never had the time to think how my life is going there. I think I can put the blame on quite compact semester schedule. Due to a short 4 month semester and numerous small but fun inter/intra sports/tech-cult fest you will be extremely busy throughout the semester if you're socially active. Although life here is almost similar to any other good fully residential engineering college  Continue ReadingOkay Anon thanks for A2A and sorry I might not be the right person to give you a satisfactory answer to this question. I'll try my best though. Well now that I am thinking what should I write here, I realized that I never had the time to think how my life is going there. I think I can put the blame on quite compact semester schedule. Due to a short 4 month semester and numerous small but fun inter/intra sports/tech-cult fest you will be extremely busy throughout the semester if you're socially active. Although life here is almost similar to any other good fully residential engineering college is India.  Let me put it down to as a short checklist. #1. Early morning classes.   				 [√]        Classes start as early as 8 am even during November.#2. Strict attendance requirements.    [√] 	 S-E-V-E-N-T-Y percent. And to top it all some teachers give marks for attendance. :'( #3. Mess food that will make you homesick. [√] You will miss your mother with almost every bite you take.#4. Canteens and Late night canteens.		 		 [√] Canteens. The best place to hangout at the start of the month. #5. Unfriendly Hitler type professors. 			 [x] * Most of them are friendly and experts in their fields. #6. Ragging.					 [x] Zero percent ragging. I and my CS team used to go in the fourth year hostel and play CS with them till 6 am. They were not only friendly but were equally cool. :) #7. Clubs that help you discover new passion and stick to the existing ones. [√] A lot of clubs and a lot to do.          More details here >> Indian Institute Of Technology Mandi#8. Nearby Malls, Cinema Theaters. 			[x] Well everything comes with a price. You'll have to sacrifice the city life, (un)fortunately. However there is one cinema hall in Mandi but the condition is not so good. #9. Some fests to lighten the mood.			[√]        It would unfair to say that all the fests here are legendary. But Exodia and Rann-Neeti are quite awesome if you get involved. :) Even the intra-college fests are cool, small but enjoyable. :)#10. Cool sports culture.				[√] Sport culture here is just awesome. Not just in the campus but even in Mandi, the people are great sports enthusiasts. Even during the end sems you can spot some people playing their favorite game.#11. Events to showcase your techincal and non-technical talents. [√]#12. Unlimited high speed internet .			[√]          Although it's has a lot of restrictions, but then restrictions are not there to prevent but to make you think/explore for a solution. That's all I can think of now. Hope it clears all of your doubts. If you want any specific details, I'll be happy to help. "
7,Is IIT Mandi the most beautiful IIt campus? ,"(A2A)Not necessarily. Although IIT Guwahati looks really attractive, photos on internet are not enough to compare college campuses (hundreds of acres of land). Presently, many IITs are still under construction and for IIT Mandi, more than 60% of the campus is mountainous. But let me mention a few clear positives of being here: IIT Mandi’s location make it a great place to spend some time at. It is essentially a valley surrounded by mountains. The river (Uhl, which is a right bank tributary of the river Beas) flowing down through the campus is the most unique feature of it (It is not as dangerous Continue Reading(A2A)Not necessarily. Although IIT Guwahati looks really attractive, photos on internet are not enough to compare college campuses (hundreds of acres of land). Presently, many IITs are still under construction and for IIT Mandi, more than 60% of the campus is mountainous. But let me mention a few clear positives of being here: IIT Mandi’s location make it a great place to spend some time at. It is essentially a valley surrounded by mountains. The river (Uhl, which is a right bank tributary of the river Beas) flowing down through the campus is the most unique feature of it (It is not as dangerous as it sounds). It really adds much elegance to its beauty by its clean running waters. Needless to say, sereneness of Kamand village and simplicity of Himachali people are a big bonus. Regarding weather: It experiences temperature ranging between 25-30 degrees during summers and a min temp of 0 in winters (yet there would be no snowfall, the advantage of being in a valley). The duration between September to November is considered the most pleasant of all times. If you wanna step out of campus, famous Grand places like Kullu-Manali and two major awesome lakes: Prashar and Rewalsar are a few hours drive away. YOu must google them if you haven’t already. Unparalleled in beauty, heritage, spirituality and adventure, there can never be a reason to not visit Himachal Pradesh. Bottom-line: You are situated at a place where India spends its vacations. Its quite a good deal for students who like travel and adventure. I have missed a lot of details, hopefully other answers will cover it. :) "
8,Is IIT Mandi the most beautiful IIt campus? ,"Well, Beauty comes with Nature. So here in IIT Mandi, mother nature has written something over it. Here are few moments in clicks. Sunny Days Electrical Engineering Lab  Taken from Central Library  Taken from D1 mess   Playground  Mechanical Workshop Road  Near D2 Mess  Beas Kund River flows in touch with campus  Campus view from top   Taken from Bio Lab  Rainy Days    From Central Library  Below clouds there is a city called Mandi  Below clouds there is a city called Mandi  Afternoon  Night  Dawn  Storm  This November, 2018   Morning Dew into Ice  After 2014, 2019 is Magic Year, Again. This year 2019,8th February, IIT Mandi is blissed by Continue ReadingWell, Beauty comes with Nature. So here in IIT Mandi, mother nature has written something over it. Here are few moments in clicks. Sunny Days Electrical Engineering Lab  Taken from Central Library  Taken from D1 mess   Playground  Mechanical Workshop Road  Near D2 Mess  Beas Kund River flows in touch with campus  Campus view from top   Taken from Bio Lab  Rainy Days    From Central Library  Below clouds there is a city called Mandi  Below clouds there is a city called Mandi  Afternoon  Night  Dawn  Storm  This November, 2018   Morning Dew into Ice  After 2014, 2019 is Magic Year, Again. This year 2019,8th February, IIT Mandi is blissed by God of Snow!!! Here it is written on the nature. From 7th to 9th February, 2019. Starting it with IIT Mandi, South Campus.                                      Now the IIT Mandi, North Campus         #Nature "
9,Is IIT Mandi the most beautiful IIt campus? ,"Let me present before you, the beautiful campus of IIT Guwahati  ​​​  ​​​  ​​​  ​​​  ​​​  ​​  ​​​   ​​​  ​​​Visit it once and you would never feel like leaving this place. :)  Continue ReadingLet me present before you, the beautiful campus of IIT Guwahati  ​​​  ​​​  ​​​  ​​​  ​​​  ​​  ​​​   ​​​  ​​​Visit it once and you would never feel like leaving this place. :)  "
